Steps 52
logT
VS
Masa_fluido_chi_del_elemento 7 y_del_punto_de_gauss 1
0                                       0
0.1                  -0.000167080850683639
0.2                  -0.000335860199891251
0.3                  -0.000506329092774134
0.4                  -0.000678478628381497
0.5                  -0.000852299959340205
0.6                  -0.00102778429153608
0.7                  -0.00120492288379673
0.8                  -0.00138370704757599
0.9                  -0.00156412814663985
1                    -0.00174617759675392
2                    -0.00190824299364744
3                    -0.00206204607782601
4                    -0.00220807116820456
5                    -0.00234677398832112
6                    -0.00247858314731209
7                    -0.00260390158168933
8                    -0.00272310795238037
9                    -0.00283655799292782
10                   -0.00294458580594901
20                   -0.00380100625409706
30                   -0.00434991432293209
40                   -0.00472471786134378
50                   -0.00499578382032741
60                   -0.00520143031195212
70                   -0.00536353199799455
80                   -0.00549523727708547
90                   -0.00560485232105748
100                  -0.00569786570923969
200                  -0.00624050638918136
300                  -0.00643707495997416
400                  -0.00656971758140324
500                  -0.00665754352435915
600                  -0.00672421988828009
700                  -0.00677575542328785
800                  -0.00681755423831154
900                  -0.00685208081333729
1000                  -0.0068813586897424
2000                 -0.00706056509410209
3000                  -0.0071474804042213
4000                 -0.00722005803430319
5000                 -0.00727279230331713
6000                 -0.00731235808078866
7000                 -0.00734178301647524
8000                 -0.00736373136605384
9000                 -0.00738008534751245
10000                -0.00739227154090392
20000                -0.00743460112169473
30000                -0.00742669139412717
40000                -0.00742817173770212
50000                -0.00742789229748427
60000                -0.00742794748443006
